A***e,Abuse
A****d,Abused
A****p,Asleep
A*****t,Assault
A*******d,Assaulted
A********g,Assaulting
B*****p,Beat Up
B**d,Bled
B******g,Bleeding
B***d,Blood
B*******y,Brutality
C***d,Child
C******n,Children
C*********a,Coprophilia
C***l,Cruel
C*****y,Cruelty
D******e,Disgrace
D*******d,Disgraced
D***k,Drink
D**g,Drug
D*****d,Drugged
D******g,Drugging
D***s,Drugs
D***k,Drunk
E***************l,Elementary School
E******d,Enforced
F***e,Force
F****d,Forced
F******l,Forceful
F*****g,Forcing
G*******g,Gang Bang
G******g,Gangbang
H********d,Humiliated
H*********g,Humiliating
H*********n,Humiliation
H***o,Hypno
H******s,Hypnosis
H******c,Hypnotic
H*******m,Hypnotism
H*******e,Hypnotize
H********d,Hypnotized
I*****l,Illegal
J*********h,Junior High
J******e,Juvenile
K*d,Kid
K****p,Kidnap
K**s,Kids
K**l,Kill
K****r,Killer
K*****g,Killing
K**********n,Kindergarten
L**i,Loli
L*****n,Lolicon
L****a,Lolita
M**********l,Mind Control
M****t,Molest
M*********n,Molestation
M******d,Molested
M******r,Molester
M*******g,Molesting
M************n,Mother And Son
N*****y,Nursery
P********t,Passed Out
P*********t,Passing Out
P**p,Poop
P*******l,Preschool
P****h,Punish
P******d,Punished
P******r,Punisher
P*******g,Punishing
R**e,Rape
R***d,Raped
R***s,Rapes
R****g,Raping
R****t,Rapist
R*****s,Rapists
S**t,Scat
S*******y,Scatology
S*********l,School Girl
S**********s,School Girls
S********l,Schoolgirl
S*********s,Schoolgirls
S***a,Shota
S******n,Shotacon
S***e,Slave
S******g,Sleeping
S*****t,Student
S******s,Students
S********n,Submission
T******e,Tentacle
T*******s,Tentacles
T*****e,Torture
T******d,Tortured
U*********s,Unconscious
U*******g,Unwilling
V*****e,Violate
V******d,Violated
V*******n,Violation
V******e,Violence
V*****t,Violent
Y********l,Young Girl
